Customer_ID,Age,Gender,Marital_Status,Annual_Income,Region,Customer_Risk_Score,Policy_ID,Policy_Type,Coverage_Amount,Premium_Amount,Payment_Frequency,Policy_Start_Date,Policy_Tenure_Years,Policy_End_Date,Claim_ID,Claim_Type,Incident_Date,Report_Date,Time_to_Report_Days,Prior_Claims_Count,Adjuster_ID,Provider_ID,Weather_Severity_Index,Claim_Amount,Severity_Bucket,Fraud_Flag,Lapse_Label
1,56,Female,Divorced,75420,Midwest,0.30922036179025425,100001,Renters,43702,296.36,Yearly,2022-03-04,1,2023-03-04,500001,Theft,2017-01-15,2017-02-06,22,0,1034,2140,0.6359899319895903,4354.21,Low,0,0
2,69,Female,Widowed,134381,Northeast,0.8810782926884633,100002,Auto,87775,790.46,Monthly,2016-04-01,5,2021-03-31,500002,Liability,2021-09-26,2021-10-08,12,0,1086,2078,0.9657895976318872,4524.31,Low,0,0
3,46,Male,Single,95671,Midwest,0.20692109385858942,100003,Renters,148666,2011.86,Quarterly,2015-04-13,1,2016-04-12,500003,Liability,2022-03-10,2022-03-23,13,1,1033,2033,0.1520278881605427,4267.38,Low,0,0
4,32,Male,Divorced,176845,West,0.17992063535084102,100004,Auto,40096,398.57,Monthly,2018-01-31,7,2025-01-29,500004,Comprehensive,2019-07-02,2019-07-13,11,3,1089,2130,0.13139053912047105,2633.78,Low,1,0
5,60,Male,Married,137596,South,0.8944549173015541,100005,Life,223301,2989.96,Monthly,2017-09-30,1,2018-09-30,500005,Critical Illness,2021-11-05,2021-11-27,22,0,1023,2254,0.0,42135.23,High,0,0
6,25,Male,Widowed,56447,Northeast,0.05567591565669877,100006,Life,440666,5396.04,Monthly,2017-07-03,9,2026-07-01,500006,Critical Illness,2019-10-27,2019-11-21,25,1,1050,2174,0.0,45211.59,High,0,0
7,78,Male,Divorced,165105,Midwest,0.6306596620193785,100007,Renters,117942,1529.0,Monthly,2016-07-25,3,2019-07-25,500007,Theft,2017-10-17,2017-11-14,28,0,1017,2237,0.1263522924383259,14087.83,Medium,0,0
8,38,Female,Widowed,50497,Midwest,0.2946474274046302,100008,Life,246572,4753.63,Quarterly,2016-02-24,2,2018-02-23,500008,Critical Illness,2016-04-05,2016-04-30,25,0,1031,2010,0.0,26295.94,High,0,0
9,56,Male,Married,109714,West,0.541508255597841,100009,Home,208715,1691.55,Monthly,2022-08-03,8,2030-08-01,500009,Liability,2016-04-24,2016-04-26,2,0,1002,2276,0.7283203449980609,6262.3,Medium,0,0
10,75,Male,Divorced,156892,South,0.7878052168548142,100010,Home,302258,4552.01,Quarterly,2021-02-11,4,2025-02-10,500010,Water Damage,2022-01-20,2022-02-15,26,0,1007,2278,0.31797264769942635,153615.23,High,0,0
